year,depth,mag,magType,net,id,updated,place,type,status,locationSource,magSource,,,,
1926,20,7,mw,iscgem,iscgem910072,2015-05-13T18:52:42.000Z,southeast of the Loyalty Islands,earthquake,automatic,iscgem,iscgem,,,,
1926,10,7,mw,iscgem,iscgem910080,2015-05-13T18:52:42.000Z,South Indian Ocean,earthquake,automatic,iscgem,iscgem,,,,
1926,35,7.1,mw,iscgem,iscgem910100,2015-05-13T18:52:42.000Z,"south of Java, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1926,15,7.1,mw,iscgem,iscgem910107,2015-05-13T18:52:42.000Z,Solomon Islands,earthquake,automatic,iscgem,iscgem,,,,
1926,10,7.4,mw,iscgem,iscgem910139,2015-05-13T18:52:42.000Z,north of Macquarie Island,earthquake,automatic,iscgem,iscgem,,,,
1926,40,7,mw,iscgem,iscgem910162,2015-05-13T18:52:42.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,automatic,iscgem,iscgem,,,,
1926,35,7.6,mw,iscgem,iscgem910191,2015-05-13T18:52:42.000Z,"near the north coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1926,15,7,mw,iscgem,iscgem910221,2015-05-13T18:52:42.000Z,Nicaragua,earthquake,automatic,iscgem,iscgem,,,,
1927,30,7.1,mw,iscgem,iscgem909067,2015-05-13T18:52:42.000Z,Vanuatu,earthquake,automatic,iscgem,iscgem,,,,
1927,15,7,mw,iscgem,iscgem909092,2015-05-13T18:52:42.000Z,Kuril Islands,earthquake,automatic,iscgem,iscgem,,,,
1927,15,7.1,mw,iscgem,iscgem909124,2015-05-13T18:52:42.000Z,Flores Sea,earthquake,automatic,iscgem,iscgem,,,,
1927,10,7,mw,iscgem,iscgem909128,2018-02-14T23:00:08.793Z,"western Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1927,15,7.7,mw,iscgem,iscgem909273,2018-01-18T19:22:03.900Z,"Gansu-Qinghai border region, China",earthquake,automatic,iscgem,iscgem,,,,
1927,35,7.5,mw,iscgem,iscgem909316,2015-05-13T18:52:42.000Z,Banda Sea,earthquake,automatic,iscgem,iscgem,,,,
1927,35,7,mw,iscgem,iscgem909429,2015-05-13T18:52:42.000Z,"off the east coast of Honshu, Japan",earthquake,automatic,iscgem,iscgem,,,,
1927,15,7.1,mw,iscgem,iscgem909442,2015-05-13T18:52:42.000Z,"near the north coast of Papua, Indonesia",earthquake,automatic,iscgem,iscgem,,,,
1927,10,7.3,mw,iscgem,iscgem909582,2018-01-09T23:11:00.835Z,Southeastern Alaska,earthquake,automatic,iscgem,iscgem,,,,
1927,15,7.2,mw,iscgem,iscgem909648,2015-05-13T18:52:42.000Z,"Aisen, Chile",earthquake,automatic,iscgem,iscgem,,,,
1927,15,7.2,mw,iscgem,iscgem16960058,2015-05-13T18:52:42.000Z,"Kamchatka Peninsula, Russia",earthquake,automatic,iscgem,iscgem,,,,
1928,15,7,mw,iscgem,iscgem908452,2015-05-13T18:52:42.000Z,Kenya,earthquake,automatic,iscgem,iscgem,,,,
1928,15,7.7,mw,iscgem,iscgem908528,2015-05-13T18:52:42.000Z,South Indian Ocean,earthquake,automatic,iscgem,iscgem,,,,
1928,10,7.6,mw,iscgemsup,iscgemsup908538,2015-07-13T17:02:22.000Z,southeast of the Loyalty Islands,earthquake,automatic,iscgem,iscgem,,,,
